﻿Title:,"Table 22 - Standard occupational classification of graduates entering work in the UK by provider"
Subtitle:,"Academic years 2017/18 to 2022/23"
Reference ID:,DT072 Table 22
Data source:,HESA
Data source link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22
Data file canonical link:,https://www.hesa.ac.uk/data-and-analysis/graduates/table-22.zip
Licence:,Creative Commons Attribution 4.0 International Licence
Date:,2025
Filters:,Country of provider,All 
,Permanent address,All 
,Level of qualification,All 
,Mode of former study,All 
,Work type marker,All 
,Academic year,2021/22 
Search:,


"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
"10001546","The College of Integrated Chinese Medicine","0","15","0","15","0","0","0","0","0","0","0","0","0","15"
"10026921","Christ the Redeemer College","0","5","0","5","0","0","5","5","0","0","0","0","0","15"
"10005972","Cheshire College South and West","5","10","15","30","0","5","5","10","0","0","5","5","0","45"
"10010213","The City College","0","15","0","20","5","0","0","5","0","0","0","0","0","25"
"10001478","City, University of London","90","825","250","1,170","60","0","20","85","25","5","10","40","10","1,300"
"10001535","Colchester Institute","0","20","30","50","5","0","10","10","5","0","5","10","0","70"
"10007912","Cliff College","0","10","10","15","0","0","0","0","0","0","0","0","0","20"
"10003955","The City of Liverpool College","0","20","20","40","5","5","10","20","5","0","10","20","0","80"
"10066502","The College of Health Ltd","0","20","0","25","0","0","0","5","0","0","0","0","0","25"
"10001653","Conservatoire for Dance and Drama","0","5","55","60","0","0","0","5","5","0","5","10","0","75"
"10081618","The Council of the Inns of Court","0","50","5","55","0","0","0","0","0","0","0","0","0","55"
"10007761","Courtauld Institute of Art","0","35","25","65","5","0","5","10","0","0","5","5","0","80"
"10034324","Court Theatre Training Company Ltd","0","0","0","0","0","0","0","0","0","0","0","0","0","5"
"10003010","Coventry College","0","0","0","0","0","0","0","0","0","0","0","5","0","5"
"10001726","Coventry University","170","1,650","700","2,520","245","35","165","445","160","40","125","325","30","3,315"
"10007822","Cranfield University","160","300","70","530","5","0","0","10","5","0","5","5","5","550"
"10001743","Craven College","0","5","0","5","0","5","5","10","5","0","5","5","0","25"
"10006427","University for the Creative Arts","20","105","135","265","30","15","30","75","50","10","35","95","5","440"
"10001696","Cornwall College","15","20","35","65","0","10","10","25","5","0","10","15","0","105"
