Provider name,Subject area of degree,Employment and further study,Unknown pattern of further study,Part-time further study,Voluntary or unpaid work,Unknown pattern of employment,"Other including travel, caring for someone or retired",Total with known outcomes,Full-time employment,Unemployed,Part-time employment,Full-time further study
Barnsley College,03 Biological and sport sciences,0.0,0.0,0.0,0.0,0.0,0.0,500,0.48,0.0,0.08,0.12
Barnsley College,"06 Agriculture, food and related studies",0.0,0.0,0.0,0.0,0.0,0.0,100,0.0,0.0,0.4,0.0
Barnsley College,10 Engineering and technology,0.0,0.0,0.0,0.0,0.0,0.0,100,0.6,0.0,0.0,0.0
Barnsley College,11 Computing,0.0,0.0,0.0,0.0,0.0,0.0,60,0.0,0.0,0.0,0.0
Barnsley College,"13 Architecture, building and planning",0.25,0.0,0.0,0.0,0.0,0.0,160,0.75,0.0,0.0,0.0
Barnsley College,15 Social sciences,0.1,0.0,0.0,0.0,0.0,0.1,400,0.5,0.0,0.1,0.0
Barnsley College,17 Business and management,0.0,0.0,0.0,0.0,0.0,0.0,120,0.16666666666666666,0.0,0.0,0.0
Barnsley College,22 Education and teaching,0.09523809523809523,0.0,0.0,0.0,0.0,0.015873015873015872,1260,0.5952380952380952,0.0,0.1111111111111111,0.015873015873015872
Barnsley College,"25 Design, and creative and performing arts",0.0,0.0,0.0,0.0,0.0,0.0,620,0.25806451612903225,0.03225806451612903,0.2903225806451613,0.06451612903225806
Barnet & Southgate College,11 Computing,0.0,0.0,0.0,0.0,0.0,0.0,40,0.0,0.0,0.0,0.0
Barnet & Southgate College,15 Social sciences,0.0,0.0,0.0,0.0,0.0,0.0,300,0.4,0.0,0.06666666666666667,0.0
Barnet & Southgate College,17 Business and management,0.08823529411764706,0.0,0.0,0.0,0.0,0.125,1360,0.38235294117647056,0.1323529411764706,0.18382352941176472,0.014705882352941176
Barnet & Southgate College,22 Education and teaching,0.0,0.0,0.0,0.0,0.0,0.05555555555555555,360,0.3333333333333333,0.0,0.2222222222222222,0.0
Basingstoke College of Technology,10 Engineering and technology,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,720,0.75,0.0,0.0,0.0
Bath College,03 Biological and sport sciences,0.0,0.0,0.0,0.0,0.0,0.0,140,0.0,0.0,0.0,0.0
Bath College,10 Engineering and technology,0.1,0.0,0.0,0.0,0.0,0.0,800,0.75,0.0,0.0,0.0
Bath College,11 Computing,0.08163265306122448,0.0,0.0,0.0,0.0,0.0,490,0.4489795918367347,0.08163265306122448,0.16326530612244897,0.0
Bath College,"13 Architecture, building and planning",0.3333333333333333,0.0,0.0,0.0,0.0,0.0,360,0.7777777777777778,0.0,0.0,0.0
Bath College,17 Business and management,0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.0,0.0
Bath College,"25 Design, and creative and performing arts",0.0,0.0,0.0,0.0,0.0,0.0,80,0.0,0.0,0.5,0.0
Bath Spa University,02 Subjects allied to medicine,0.07407407407407407,0.0,0.0,0.0,0.0,0.0,1080,0.6018518518518519,0.018518518518518517,0.1574074074074074,0.0
Bath Spa University,03 Biological and sport sciences,0.0,0.0,0.0,0.0,0.0,0.0,710,0.676056338028169,0.0,0.0,0.11267605633802817
Bath Spa University,04 Psychology,0.14402618657937807,0.0,0.0,0.01309328968903437,0.0,0.0425531914893617,3055,0.5450081833060556,0.03927986906710311,0.10147299509001637,0.10474631751227496
Bath Spa University,10 Engineering and technology,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,360,0.4444444444444444,0.0,0.3888888888888889,0.0
Bath Spa University,11 Computing,0.021621621621621623,0.0,0.0,0.0,0.0,0.021621621621621623,925,0.5621621621621622,0.021621621621621623,0.07567567567567568,0.043243243243243246
