"UKPRN","Provider Name","Managers, directors and senior officials","Professional occupations","Associate professional occupations","Total high skilled","Administrative and secretarial occupations","Skilled trades occupations","Caring, leisure and other service occupations","Total medium skilled","Sales and customer service occupations","Process, plant and machine operatives","Elementary occupations","Total low skilled","Unknown","Total"
10004075,"London School of Theology",5,60,55,130,0,0,0,15,0,0,5,5,0,150
10004078,"London South Bank University",660,5880,1505,8055,490,170,445,1110,360,110,315,785,55,10005
10004079,"London Studio Centre",0,5,105,125,15,0,20,45,20,0,15,50,0,210
10004112,"Loughborough College",45,150,210,405,35,40,60,150,40,15,50,100,0,660
10004113,"Loughborough University",585,6205,3025,9820,525,130,225,875,270,60,275,600,40,11325
10004144,"Macclesfield College",0,25,20,50,0,0,5,15,5,0,0,15,0,80
10004180,"The Manchester Metropolitan University",1130,9860,5835,16815,1800,295,1155,3245,1510,120,1035,2665,90,22820
10004320,"The Metanoia Institute",5,85,50,140,0,0,5,5,0,0,0,0,0,145
10004340,"Mid-Kent College",45,145,60,240,5,20,5,40,0,0,0,10,0,295
10004344,"Middlesbrough College",15,110,100,230,20,85,65,170,25,10,35,75,0,475
10004351,"Middlesex University",415,3615,1900,5915,520,75,490,1075,465,65,260,790,45,7830
10004365,"Millennium Performing Arts Ltd",0,0,0,0,0,0,0,0,0,0,0,5,0,5
10004375,"Milton Keynes College",15,65,60,150,15,25,20,70,20,25,60,105,5,325
10004432,"Morley College Limited",0,5,15,25,0,0,0,20,0,0,0,0,0,45
10004442,"Moulton College",10,30,15,65,10,10,25,40,10,0,5,15,0,120
10004450,"Mountview Academy of Theatre Arts",15,45,200,265,15,10,30,50,10,0,55,65,0,385
10004478,"Myerscough College",45,100,240,380,20,120,60,205,30,5,35,70,0,665
10004511,"The National Film and Television School",35,130,420,580,40,30,5,75,0,0,5,10,0,670
10004538,"Nazarene Theological College",5,50,35,95,5,0,0,5,0,0,0,0,0,110
10004552,"Nelson and Colne College",5,85,70,170,0,25,30,65,0,0,5,20,0,250
10004576,"New College Durham",75,370,225,675,50,70,100,210,65,35,80,180,10,1080
10004577,"Nottingham College",15,85,110,215,25,35,45,105,25,5,50,75,0,405
10004579,"New College Swindon",25,60,50,145,30,35,70,140,35,30,45,110,5,395
10004596,"Newbury College",0,50,40,90,0,25,0,25,0,5,0,5,0,130
10004599,"NCG",100,455,395,940,85,110,250,450,190,50,165,405,5,1805
